--------- beginning of main
12-08 13:18:25.728 W/System.err(18633): 	at android.os.Looper.loopOnce(Looper.java:226)
12-08 13:18:25.728 W/System.err(18633): 	at android.os.Looper.loop(Looper.java:313)
12-08 13:18:25.728 W/System.err(18633): 	at android.app.ActivityThread.main(ActivityThread.java:8663)
12-08 13:18:25.728 W/System.err(18633): 	at java.lang.reflect.Method.invoke(Native Method)
12-08 13:18:25.728 W/System.err(18633): 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:571)
12-08 13:18:25.728 W/System.err(18633): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:1135)
12-08 13:18:25.728 W/System.err(18633): java.lang.NullPointerException: Attempt to invoke virtual method 'com.samsung.android.desktopmode.SemDesktopModeState com.samsung.android.desktopmode.SemDesktopModeManager.getDesktopModeState()' on a null object reference
12-08 13:18:25.728 W/System.err(18633): 	at d.e.a.a.a.x.f.a(SourceFile:2)
12-08 13:18:25.728 W/System.err(18633): 	at d.e.a.a.a.x.f.c(SourceFile:2)
12-08 13:18:25.728 W/System.err(18633): 	at com.samsung.android.app.galaxyfinder.GalaxyFinderActivity.v(SourceFile:1)
12-08 13:18:25.728 W/System.err(18633): 	at com.samsung.android.app.galaxyfinder.GalaxyFinderActivity.onCreate(SourceFile:16)
12-08 13:18:25.728 W/System.err(18633): 	at android.app.Activity.performCreate(Activity.java:8290)
12-08 13:18:25.728 W/System.err(18633): 	at android.app.Activity.performCreate(Activity.java:8270)
12-08 13:18:25.729 W/System.err(18633): 	at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1329)
12-08 13:18:25.729 W/System.err(18633): 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:4009)
12-08 13:18:25.729 W/System.err(18633): 	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:4201)
12-08 13:18:25.729 W/System.err(18633): 	at android.app.servertransaction.LaunchActivityItem.execute(LaunchActivityItem.java:103)
12-08 13:18:25.729 W/System.err(18633): 	at android.app.servertransaction.TransactionExecutor.executeCallbacks(TransactionExecutor.java:135)
12-08 13:18:25.729 W/System.err(18633): 	at android.app.servertransaction.TransactionExecutor.execute(TransactionExecutor.java:95)
12-08 13:18:25.729 W/System.err(18633): 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:2438)
12-08 13:18:25.729 W/System.err(18633): 	at android.os.Handler.dispatchMessage(Handler.java:106)
12-08 13:18:25.729 W/System.err(18633): 	at android.os.Looper.loopOnce(Looper.java:226)
12-08 13:18:25.729 W/System.err(18633): 	at android.os.Looper.loop(Looper.java:313)
12-08 13:18:25.729 W/System.err(18633): 	at android.app.ActivityThread.main(ActivityThread.java:8663)
12-08 13:18:25.729 W/System.err(18633): 	at java.lang.reflect.Method.invoke(Native Method)
12-08 13:18:25.729 W/System.err(18633): 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:571)
12-08 13:18:25.729 W/System.err(18633): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:1135)
12-08 13:18:35.661 W/System.err(30333): android.content.pm.PackageManager$NameNotFoundException: com.samsung.android.scloud.quota
12-08 13:18:35.664 W/System.err(30333): 	at android.app.ApplicationPackageManager.getPackageInfoAsUser(ApplicationPackageManager.java:293)
12-08 13:18:35.664 W/System.err(30333): 	at android.app.ApplicationPackageManager.getPackageInfo(ApplicationPackageManager.java:265)
12-08 13:18:35.664 W/System.err(30333): 	at com.samsung.android.settings.account.AccountUtils.checkSamsungStorageAvailble(AccountUtils.java:249)
12-08 13:18:35.664 W/System.err(30333): 	at com.samsung.android.settings.backup.controller.SamsungStoragePreferenceController.getAvailabilityStatus(SamsungStoragePreferenceController.java:78)
12-08 13:18:35.664 W/System.err(30333): 	at com.android.settings.core.BasePreferenceController.isAvailable(BasePreferenceController.java:266)
12-08 13:18:35.664 W/System.err(30333): 	at com.android.settings.core.BasePreferenceController.updateNonIndexableKeys(BasePreferenceController.java:312)
12-08 13:18:35.664 W/System.err(30333): 	at com.android.settings.search.BaseSearchIndexProvider.getNonIndexableKeys(BaseSearchIndexProvider.java:131)
12-08 13:18:35.664 W/System.err(30333): 	at com.android.settings.search.SettingsSearchIndexablesProvider.getNonIndexableKeysFromProvider(SettingsSearchIndexablesProvider.java:365)
12-08 13:18:35.664 W/System.err(30333): 	at com.android.settings.search.SettingsSearchIndexablesProvider.queryNonIndexableKeys(SettingsSearchIndexablesProvider.java:177)
12-08 13:18:35.664 W/System.err(30333): 	at com.samsung.android.settings.search.provider.SearchIndexablesProvider.query(SearchIndexablesProvider.java:124)
12-08 13:18:35.665 W/System.err(30333): 	at com.samsung.android.settings.search.provider.SecSearchIndexablesProvider.query(SecSearchIndexablesProvider.java:136)
12-08 13:18:35.665 W/System.err(30333): 	at android.content.ContentProvider.query(ContentProvider.java:1520)
12-08 13:18:35.665 W/System.err(30333): 	at android.content.ContentProvider.query(ContentProvider.java:1616)
12-08 13:18:35.665 W/System.err(30333): 	at android.content.ContentProvider$Transport.query(ContentProvider.java:286)
12-08 13:18:35.665 W/System.err(30333): 	at android.content.ContentProviderNative.onTransact(ContentProviderNative.java:107)
12-08 13:18:35.665 W/System.err(30333): 	at android.os.Binder.execTransactInternal(Binder.java:1215)
12-08 13:18:35.665 W/System.err(30333): 	at android.os.Binder.execTransact(Binder.java:1179)
12-08 13:18:36.649 W/System.err(18889): android.content.pm.PackageManager$NameNotFoundException: com.samsung.android.voc
12-08 13:18:36.650 W/System.err(18889): 	at android.app.ApplicationPackageManager.getPackageInfoAsUser(ApplicationPackageManager.java:293)
12-08 13:18:36.650 W/System.err(18889): 	at android.app.ApplicationPackageManager.getPackageInfo(ApplicationPackageManager.java:265)
12-08 13:18:36.650 W/System.err(18889): 	at com.samsung.android.settings.intelligence.search.eligibility.NonIndexablesProviderEligibilityChecker.getPackageVersion(NonIndexablesProviderEligibilityChecker.java:233)
12-08 13:18:36.650 W/System.err(18889): 	at com.samsung.android.settings.intelligence.search.eligibility.NonIndexablesProviderEligibilityChecker.initConfigDependencyPackages(NonIndexablesProviderEligibilityChecker.java:157)
12-08 13:18:36.650 W/System.err(18889): 	at com.samsung.android.settings.intelligence.search.eligibility.NonIndexablesProviderEligibilityChecker.init(NonIndexablesProviderEligibilityChecker.java:148)
12-08 13:18:36.650 W/System.err(18889): 	at com.samsung.android.settings.intelligence.search.indexing.app.AppDatabaseIndexingManager.indexCommonSettingsDatabase(AppDatabaseIndexingManager.java:59)
12-08 13:18:36.650 W/System.err(18889): 	at com.android.settings.intelligence.search.indexing.DatabaseIndexingManager$IndexingTask.onPostExecute(DatabaseIndexingManager.java:932)
12-08 13:18:36.650 W/System.err(18889): 	at com.android.settings.intelligence.search.indexing.DatabaseIndexingManager$IndexingTask.onPostExecute(DatabaseIndexingManager.java:868)
12-08 13:18:36.650 W/System.err(18889): 	at android.os.AsyncTask.finish(AsyncTask.java:771)
12-08 13:18:36.650 W/System.err(18889): 	at android.os.AsyncTask.access$900(AsyncTask.java:199)
12-08 13:18:36.650 W/System.err(18889): 	at android.os.AsyncTask$InternalHandler.handleMessage(AsyncTask.java:788)
12-08 13:18:36.650 W/System.err(18889): 	at android.os.Handler.dispatchMessage(Handler.java:106)
12-08 13:18:36.650 W/System.err(18889): 	at android.os.Looper.loopOnce(Looper.java:226)
12-08 13:18:36.650 W/System.err(18889): 	at android.os.Looper.loop(Looper.java:313)
